S.No.,Course Slot,Course Code,Max.Limit
1,A,AML831,23
2,A,AML832,25
3,A,ASL736,100
4,A,CEL721,60
5,A,CLL121,125
6,A,CLL731,50
7,A,CML522,60
8,A,CML724,60
9,A,CRD802,40
10,A,CRL712,25
11,A,CRL732,70
12,A,CVL715,60
13,A,CVL728,20
14,A,CVL746,30
15,A,CVL760,60
16,A,CVL774,150
17,A,CVL833,30
18,A,DIS812,25
19,A,EEL602,60
20,A,ELL312,50
21,A,ELL365,120
22,A,ELL717,60
23,A,ELL719,60
24,A,ELL783,120
25,A,ELL855,60
26,A,ELL870,60
27,A,ESL730,60
28,A,HUL211,78
29,A,HUL212,78
30,A,HUL231,78
31,A,HUL237,78
32,A,HUL242,78
33,A,HUL253,78
34,A,HUL256,78
35,A,HUL261,78
36,A,HUL267,78
37,A,HUL272,78
38,A,HUL275,78
39,A,HUL315,34
40,A,HUL316,34
41,A,HUL320,34
42,A,HUL350,34
43,A,HUL360,34
44,A,HUL377,34
45,A,ITL717,60
46,A,MCD862,50
47,A,MCL733,90
48,A,MCL822,50
49,A,MEL334,60
50,A,MSL303,80
51,A,MSL805,65
52,A,MTL509,70
53,A,PYL112,88
54,A,SML879,65
55,A,TXL725,75
